Machine_ID,Temperature,Run_Time,Downtime_Flag
52,61.53321902638654,252.19303054593288,0
93,66.19408733952893,226.3224080667348,0
15,63.694476953184335,268.19432622085526,0
72,76.34428882628022,326.95813581346664,1
61,80.8212279471304,183.77545210855533,1
21,83.87748459593357,189.70666414522475,1
83,83.94332330108762,127.9979276158101,1
87,82.54997797244735,259.536362805682,1
75,72.92834109895426,264.96984071322436,0
75,68.7652260501504,156.64269219752234,0
88,59.91846710452517,230.88204227555724,0
100,85.9964697578482,260.85353984900553,1
24,73.22267878729345,211.31441347494373,0
3,70.896166913137,242.37007162883194,0
22,86.79716344700701,208.74165059957357,1
53,66.01792060544322,139.15725538203804,0
2,83.34795419230429,252.46736961604327,1
88,77.9656138432897,266.25528307571005,1
30,64.62170123484518,236.72505324400228,0
38,74.24196254971815,152.275136901929,0
2,84.72963533755788,162.44102876680358,1
64,82.95595463895941,143.4785973439735,1
60,89.95434252883473,238.49886799653967,1
21,78.38181251993319,263.4194761201951,1
33,108.72296253626672,221.22431220282255,1
76,65.79609194932624,247.02677924810047,0
58,71.013616099848,156.61794550103127,0
22,74.39135912525254,207.29309262141547,1
89,60.81249541408597,131.50644716418518,0
49,85.42491617339421,161.41096252533708,1
91,84.03532490625842,243.93367740954477,1
59,75.19000331062149,188.02027459030953,1
42,69.65583546326495,260.4690985343317,0
92,60.049461291856645,226.8980001845998,0
60,67.1074167130208,336.7211079530871,0
80,82.43711283771226,204.68827150759734,1
15,72.87838578288374,129.67973664092256,0
62,70.73131205960277,198.2735171952596,1
62,80.01448331524806,151.84921869669367,1
47,86.58186652932028,248.85900004065365,1
62,77.5711687005628,202.09900322350114,1
51,78.14512895863172,193.13640914510918,1
55,88.71862133549777,193.79338055591703,1
64,76.75553293954833,237.01704089738692,1
3,71.90711453555423,177.37688838276654,0
51,81.73125502773975,238.8524897451804,1
7,72.43369817307446,252.27855841731585,0
21,71.32174275867239,182.89291436973093,0
73,87.73733620139556,153.6976690394261,1
39,72.0804732917438,174.3517341182189,1
18,48.4482395243653,235.50546201819768,0
4,78.45517943888767,204.62394357755485,1
89,71.04483548419707,231.50374693005037,0
60,72.10863143530058,288.14687361516144,0
14,79.52936326533509,211.54768614725666,1
9,73.33939091648935,159.55315543048195,0
90,77.14938830094755,252.87117544311883,0
53,54.77685066804265,202.56804297398176,0
2,65.56943191532737,243.62235788302266,0
84,89.03958738659293,253.30992720488692,1
92,74.8144919548836,152.04959517866106,1
60,58.26495378009777,269.10023020859717,0
71,64.27468165564342,245.25609799782796,0
44,65.0741382059681,169.80478137577356,0
8,76.02347682549667,215.22245599354264,1
47,70.67390719451987,212.86037454900534,0
35,68.40817697563521,201.19659072329185,0
78,75.03937304431403,243.59569944061963,1
81,79.77754099433527,271.86781641667636,1
36,72.4097135526111,200.3653186370316,0
50,69.252907923866,266.5440663986043,0
4,70.78501779660117,249.4101305252056,0
2,78.39820964186644,211.61480790882024,1
6,74.92619850055426,208.80904610261607,1
54,82.67296838706405,142.37173141699924,1
4,63.50207422505642,124.9615803396413,0
54,67.24663894043056,208.2511399054669,0
93,82.73140855889248,157.2035541085316,1
63,66.98172156650307,198.01819289801904,0
18,88.84015718932679,173.2668629074968,1
90,89.05205305878188,110.57517475097517,1
44,88.92325753491903,217.8652270968317,1
34,66.1935918147023,179.27340973050542,0
74,75.76894948584571,204.00993562704073,1
62,70.06567517796674,155.34398631853884,0
100,84.23162608341953,183.25913763026333,1
14,92.06604953678462,278.01900705664394,1
95,83.7358941563538,206.42755000355405,1
48,75.09144345740137,227.47881725313337,0
15,71.34460703167457,136.456409656198,0
72,81.49086732629107,319.45179786962314,1
78,62.77126463324693,292.1706879160267,0
87,80.36336032382066,268.1717745475852,1
62,65.85309068738722,241.43829888024374,0
40,81.20548215961735,200.7571639129932,1
85,73.39062623136937,222.10370084333658,1
80,71.11735601023386,252.4009871997476,0
82,66.14487626171152,168.57151262621468,0
53,71.43254974231806,177.77506278904087,0
24,80.56121798533965,116.54338204547341,1
